站號,站名,城市,地址
C1I450,望鄉山,南投縣,信義鄉巒大事業區第131林班內(郡大林道約32K附近，望鄉山三角點旁)
C1I470,杉林溪,南投縣,竹山鎮大鞍里(杉林溪森林生態渡假園區收費亭附近，向欣谷碑旁)
C1I500,大尖山,南投縣,仁愛鄉大尖山
C1I510,線浸林道,南投縣,鹿谷鄉線浸林道11k附近
C1I550,國六W023K,南投縣,國道6號西向23.7K
C1K540,口湖,雲林縣,口湖鄉口湖村中正路一段280號(口湖消防分隊)
C1M390,龍美,嘉義縣,番路鄉公興村隆美地區(舊地名為瀨頭)私人茶園內
C1M400,菜瓜坪,嘉義縣,大埔鄉西興村
C1M480,獨立山,嘉義縣,竹崎鄉(獨立山三角點旁)
C1M600,頭凍,嘉義縣,番路鄉阿里山公路23k處轉入興社產業道路盡頭
C1M610,石磐龍,嘉義縣,竹崎鄉光華村
C1M620,瑞里,嘉義縣,梅山鄉瑞里派出所旁小路至站址(公墓旁)車程約10分鐘
C1M640,十字,嘉義縣,阿里山鄉十字村16號（十字國小樓頂）
C1M870,國三N285K,嘉義縣,國道3號北向285K
C1N001,沙崙,臺南市,歸仁區沙崙里184號北沙崙農場
C1O850,環湖,臺南市,大內區頭社里10號(大內國小鳴頭分校內)
C1O870,大棟山,臺南市,白河區大棟山三角點
C1O880,關山,臺南市,南化區關山里西阿里關83號(瑞峰國小附近)
C1O921,楠西,臺南市,楠西區中興路107號(楠西國民中學內)
C1O940,東山服務區,臺南市,國道3號北向319.9K
C1R110,口社,屏東縣,三地門鄉口社村5鄰信義巷58-5號
C1R120,上德文,屏東縣,三地門鄉德文村口之公墓旁
C1R250,力里,屏東縣,春日鄉七佳村自強一路92號(力里國民小學內)
C1R290,石門山,屏東縣,牡丹鄉石門古戰場(恆春事業區29林班地)
C1R610,西大武山,屏東縣,泰武鄉北大武山步道2.6k
C1R630,龍泉,屏東縣,內埔鄉大新路109號（屏東縣新生國民小學）
C1S670,摩天,臺東縣,海端鄉(省道臺20線169K福德宮後方)
C1S800,華源,臺東縣,太麻里鄉華源村
C1S820,金峰,臺東縣,金峰鄉嘉蘭村嘉蘭國小旁
C1S850,豐南,花蓮縣,富里鄉豐南村花82縣道盡頭叉路1k旁
C1S860,利嘉,臺東縣,卑南鄉利嘉林道6k附近梅子園
C1S870,南美山,臺東縣,成功鎮南美山產業道路盡頭柑橘園
C1S880,壽卡,臺東縣,達仁鄉(大武事業區第48林班內)電信轉播站後方
C1SA50,利嘉林道,臺東縣,臺東縣卑南鄉利嘉林道17K處
C1SA70,都蘭,臺東縣,東河鄉都蘭村431號(都蘭國民小學教室頂樓)
C1T800,洛韶,花蓮縣,秀林鄉富世村中橫公路洛韶11號旁
C1T810,慈恩,花蓮縣,秀林鄉富世村關原路3號(救國團慈恩山莊)
C1T830,布洛灣,花蓮縣,秀林鄉布洛灣地區(布洛灣遊客中心圓環之廣場旁邊)
C1T920,中興,花蓮縣,壽豐鄉中興大橋橋頭旁
C1T940,大觀,花蓮縣,萬榮鄉(往臺16線過管制哨約12k處)
C1T950,太安,花蓮縣,萬榮鄉太田事業區128林班地(馬太鞍苗圃)
C1T970,大農,花蓮縣,光復鄉花蓮糖廠之大農農場內(大農段691號)
C1T980,龍澗,花蓮縣,秀林鄉龍澗發電廠旁
